GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
THY1,P04216,,CD90,none,Alexa Fluor 488,mouse,OX7,IgG1,,Santa Cruz Biotechnologies,sc-53116 AF488,FITC/488,,in progress,,Level 0,,,,,x,CAJ_AbVal6,TON1,7,2,,,CAJ_TMA5_7,TMA7,13,2,,,ZM2_011_Vignesh,Thymus,10,2,
THY1,P04216,,CD90,none,Alexa Fluor 555,rabbit,EPR3133,IgG,,Abcam,ab202511,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal6,TON1,8,3,,,CAJ_TMA5_7,TMA7,14,3,,,ZM2_009_VIGNESH,Thymus,6,3,
,P24941,,CDK2,none,Alexa Fluor 555,rabbit,E304,IgG,,Abcam,ab208043,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON1,9,3,,,CAJ_TMA5_7,TMA7,15,3,,,,,,,
SREBF1,P36956,bHLHd1,SREBP1,none,none,rabbit,polyclonal,IgG,,Abcam,ab28481,"primary, rabbit",,in progress,,,,,,,x,CAJ_AbVal7,TON1,3,2,500,,CAJ_TMA5_7,TMA7,3,2,,,,,,,
THY1,P04216,,CD90,none,FITC,mouse,F15-42-1,IgG1,,Abcam,ab11155,FITC/488,,in progress,,,,,,,x,CAJ_AbVal9,TON1,8,2,,NO specific staining (100),CAJ_TMA5_7,TMA7,7,2,,,,,,,
C5AR2,Q9P296,,GPR77,none,Phycoerythrin,mouse,1D9-M12,IgG2a,,BioLegend,342403,PE/555/Cy3,,in progress,,,,,,,100,CAJ_AbVal9,TON1,8,3,,Signal in non-KRT+ cell region (100)_,CAJ_TMA5_7,TMA7,13,3,,XXX,,,,,
MCL1,Q07820,BCL2L3;EAT,MCL1,none,Alexa Fluor 647,xxx,Y37,xxx,,Abcam,ab197035,647/Cy5,xxx,Level 0,,,,no comment,no comment,Didn't work,x,CAJ_AbVal11,TON1,6,4,,,CAJ_TMA8_10,TMA8,5,4,MCL1,100,ZM2_029_ALL2,ALL2,7,4,
COX4I1,P13073,Cyclooxygenase 4,COX4,none,Alexa Fluor 647,rabbit,clone 3E11,IgG,,CST,7561S,647/Cy5,xxx,Level 2,,Level 0,,Level 2,Level 2,JERRY,200,CAJ_AbVal7,TON1,7,4,,WEAK (300) mitochondrial staining,CAJ_TMA8_10,TMA8,12,4,COX4,150,ZM1_051_Nicole3,LP40,14,4,
,,,BID,none,none,goat,polyclonal,IgG,,Abcam,ab195802,"primary, goat",,in progress (see TMA),,,,,,,x,CAJ_AbVal11,TON1,3,3,100,"Cytoplasmic. BG, higher in epithelia.",CAJ_TMA8_10,TMA8,3,3,Bid,200,,,,,
,,,BAP1,none,FITC,mouse,C-4,IgG1,,Santa Cruz Biotechnologies,sc-28383 FITC,FITC/488,,in progress,,,,,,,x,CAJ_AbVal11,TON1,8,2,,,CAJ_TMA8_10,TMA8,10,2,BAP1,100,,,,,
CD19,P15391,,CD19,none,Alexa Fluor 488,mouse,HIB19,IgG1,,BioLegend,302219,FITC/488,B-cells,in progress,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON1,10,2,,,CAJ_TMA8_10,TMA8,14,2,CD19,100,,,,,
,,,AHR,none,eFluor 660,mouse,FF3399,IgG2b,,Thermo Fisher,50-9854-42,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal11,TON1,5,4,,,CAJ_TMA8_10,TMA9,10,4,AHR,200,ZM2_029_ALL2,ALL2,14,4,
ITGAM,P11215,Integrin alpha-M,CD11B,none,Alexa Fluor 488,mouse,C67F154,IgG1,,eBioscience,53-0196-80,FITC/488,"NK, CD33+ myeloid, CD14+ myeloid",Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,200,CAJ_AbVal1,TON1,7,2,,,CAJ_TMA8_10,TMA9,8,2,CD11B,200,ZM1_051_Nicole3,LP40,8,2,
,,,MyD88,none,APC,rabbit,EPR590(N),IgG,,Abcam,ab221278,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal11,TON1,8,4,,,CAJ_TMA8_10,TMA9,7,4,MyD88,300,,,,,
NES,P48681,,Nestin,none,Alexa Fluor 488,xxx,10C2,xxx,,eBioscience,53-9843-80,FITC/488,xxx,Level 1,,,,Level 1,Level 1,no comment,x,CAJ_AbVal11,TON1,9,2,,,CAJ_TMA8_10,TMA9,17,2,Nestin,100,,,,,
STAT1,P42224,,STAT1,none,none,mouse,9H2,IgG1,,CST,9176S,"primary, mouse",,,,,,,,,x,Z103_CAJ_AbVal14,TON1,3,4,STAT1,300,cue_orimary,,,,,,ZM1_051_Nicole3,LP40,5,4,
CD4,P01730,,CD4,none,eFluor 570,mouse,N1UG0,IgG2b,,eBioscience,41-2444-80,PE/555/Cy3,"T-cells, some macrophages",Level 2,,,,Level 2,Level 2,JERRY,50,ZM_AbVal2,TON1,6,3,,,same as 41-2444-82,,,,,,ZM1_037_Nicole1,LP40,7,3,
ITGAX,P20702,ITGAX; Integrin alpha X,CD11C,none,eFluor 570,Mouse,118/A5,IgG2b,,eBioscience,41-9761-80,PE/555/Cy3,"DC, also mono/mac/PMN",Level 2,,,,Level 2,Level 2,May work,discontinued,ZM_AbVal2,TON1,7,3,,,discontinued,,,,,,ZM1_051_Nicole3,LP40,10,3,
CD86,P42081,B7-2;CD28LG2,CD86,none,Phycoerythrin,mouse,IT2.2,IgG2b,,BioLegend,305405,PE/555/Cy3,"CD14+ or CD33+ myeloid, DC",Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON1,8,3,,,x,,,,,,ZM1_037_Nicole1,LP40,9,3,
TET2,Q6N021,,Tet2,none,none,goat,polyclonal,IgG,,Abcam,ab99432,"primary, goat",xxx,in progress,,,,no comment,no comment,no comment,100,CAJ_AbVal1,TON1,4,3,300,Nuclear in a subset of cells. Weaker cytoplasmic staining of concentrated in epithelial cells.,x,,,,,,,,,,
,none,,5'-HMC,none,none,rabbit,polyclonal,IgG,,Active Motif,39769,"primary, rabbit",xxx,Level 3,Lian,,,Level 2,Level 0,no comment,200,CAJ_AbVal1,TON1,5,2,200,Nuclear staining variable between cells.,cue_orimary,,,,,,precancer_atlas,,,,
DNMT3A,Q9Y6K1,,DNMT3A,none,none,mouse,64B1146,IgG1,,Abcam,ab13888,"primary, mouse",xxx,Level 0 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON1,5,4,300,Cytoplasmic in epithelial region. Binds non-cellular areas that would be collagen bundles.,x,,,,,,,,,,
CD86,P42081,B7-2;CD28LG2,CD86,none,Phycoerythrin,mouse,BU63,IgG1,,Abcam,ab77226,PE/555/Cy3,,,,,,,,,x,CAJ_AbVal11,TON1,8,3,,,x,,,,,,,,,,
LAMP1,P11279,LAMP1,CD107a,none,none,rabbit,D2D11,IgG,,CST,9091T,"primary, rabbit","broadly expressed, CD8+T and NK degranulation marker",Level 2,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON1,3,2,500,GOOD: 2nd antibody matches,x,,,,,,,,,,
CD47,Q08722,IAP; Integrin Associated Protein,CD47,none,none,mouse,IAP/964,IgG1,,Abcam,ab213079,"primary, mouse",most hematopoietic lineages,Level 0 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON1,4,4,100,No specific staining. Antibody aggregates,x,,,,,,,,,,
PPARG,P37231,,PPARG,none,none,rabbit,C26H12,IgG,,CST,2435S,"primary, rabbit",,,,,,,,,x,CAJ_AbVal4,TON1,3,2,400,,x,,,,,,,,,,
CD2,P06729,LFA2;LFA3R;SRBC,CD2,none,Alexa Fluor 488,mouse,MT910,IgG1,,Santa Cruz Biotechnologies,sc-19638 AF488,FITC/488,,compared to primary,,,,,,,x,CAJ_AbVal4,TON1,5,2,,,x,,,,,,,,,,
TBX1,Q9UL17,TBET;TBLYM,TBX21,none,none,rabbit,EPR9301,IgG,,Abcam,ab150440,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,200,CAJ_AbVal5,TON1,3,2,300,"GOOD (300). Some cytoplasmic, mostly nuclear staining of rare CD3D+ and CD20+ cells. Matches TBET-e660.",x,,,,,,,,,,
TPSAB1;TPSB2;TPSD1,Q15661;P20231;Q9BZJ3,Tryptase_MastCell,Tryptase,none,none,mouse,AA1,IgG1,,Dako,M7052,"primary, mouse",xxx,Level 2,,,,no comment,no comment,no comment,2000,CAJ_AbVal5,TON1,3,4,500,Cytoplasmic. Rare cell type. Some are MC chymase-positive,cue_primary,,,,,,,,,,
NTRK1,P04629,TrkA,NTRK1,none,none,rabbit,EP1058Y,IgG,,Abcam,ab76291,"primary, rabbit",,,,,,,,,300,CAJ_AbVal5,TON1,7,3,WHAT IS THIS?,GOOD (300) cytoplasmic staining. Unclear what cell type.,cued_new,,,,,,,,,,
LAG3,P18627,Lag3,CD223,none,none,rabbit,EPR4392(2),IgG,,Abcam,ab180187,"primary, rabbit","activated T-cells, pDC, NK, B-cells",Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,1000,CAJ_AbVal6,TON1,3,2,1000,GOOD: T-cells in tonsil. Punctate distribution around CD3D+ membrane. Synapses?,cue_orimary,,,,,,,,,,
AXL,P30530,UFO,AXL,none,none,goat,polyclonal,IgG,,R&D Systems,AF154-SP,"primary, goat",,Level 1 (ton),,,,,,,100,CAJ_AbVal7,TON1,3,3,100,Cytoplasmic. Stains rare cells. Non-CD45. Some RBCs stained.,same as CAJ_TMA5_3_3,,,,,,,,,,
ATF3,P18847,,ATF3,none,none,mouse,CL1685,IgG1,,Abcam,ab191513,"primary, mouse",,,,Level 0,,,,,100,CAJ_AbVal7,TON1,3,4,100,No signal. Use another tissue.,x,,,,,,,,,,
GZMB,P10144,CTLA1;CGL1;CSPB; Granzyme B,GzB,none,none,rabbit,xxx,IgG,,Abcam,ab4059,"primary, rabbit",xxx,Level 1,,,,Level 0,no comment,Signal stronger,100,CAJ_AbVal9,TON1,3,4,WHAT IS THIS?,NO. Brightest cells are CD45-,cue primary,,,,,,,,,,
PDPN,Q86YL7,,Podoplanin,none,Alexa Fluor 647,rat,NC-08,IgG2a,,BioLegend,337007,647/Cy5,,,,,,,,,100,CAJ_AbVal9,TON1,7,4,,AGG? Spots that make no sense (100),cued,,,,,,,,,,
TNFRSF4,P43489,OX40,CD134,none,none,rabbit,,IgG,,CST,61637T,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON1,3,2,CD134,50,,,,,,,,,,,
,,,Coilin,,Alexa Fluor 488,,,,,Abcam,ab197531,,,,,,,,,,,Z103_CAJ_AbVal14,TON1,7,2,Coilin,300,,,,,,,,,,,
,,,HMGB1,none,AF555,rabbit,,,,abcam,ab206896,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON1,7,3,HMGB1,300,,,,,,,,,,,
NCAM1,P13591,NCAM,CD56,none,eFluor 660,xxx,5tukon56,xxx,,Thermo Fisher,50-0565-80,647/Cy5,"NK, activated CD8+T and gt-T cells",Level 0,,,,Level 0,Level 0,Didn't work,x,ZM_AbVal1,TON1,5,4,,,x,,,,,,,,,,
STAT5A;STAT5B,P42229;P51692,,STAT5,p_Y694,Alexa Fluor 488,rabbit,C71E5,IgG,,CST,3939S,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,x,ZM_AbVal1,TON1,6,2,,,x,,,,,,,,,,
CD209,Q9NNX6,DCSIGN;CLEC4L,CD209,none,none,mouse,DC28,IgG2a,,Santa Cruz Biotechnologies,sc-65740,"primary, mouse","macrophage, DC",Level 1,,,,no comment,no comment,no comment,50,ZM_AbVal2,TON1,4,4,100,Cytoplasmic staining of dendritic cells outside GC.,x,,,,,,,,,,
